scenario,rewiring,topology,model_run,friendly_name,network_class,convergence_rate,final_cooperativity,final_polarization,time_to_majority,rel_vs_static_rate,rel_vs_static_coop,rel_vs_static_polar,rel_vs_static_time,rel_vs_random_rate,rel_vs_random_coop,rel_vs_random_polar,rel_vs_random_time,better_than_static_rate,better_than_static_coop,better_than_static_polar,better_than_static_time,better_than_random_rate,better_than_random_coop,better_than_random_polar,better_than_random_time
bridge,diff,DPAH,33,bridge (opposite),directed,0.2839146589769958,0.34837284420059816,0.9105587367495908,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,34,bridge (opposite),directed,0.31963319739524043,0.32655512089800043,0.9185814844718683,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,35,bridge (opposite),directed,0.28837378413415427,0.3706620633922998,0.90851317203232,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,35,bridge (opposite),directed,-0.10578036896125922,0.32225315864076914,0.9165809756138927,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,36,bridge (opposite),directed,0.3481995497222316,0.3069891054974335,0.9250662235479714,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,37,bridge (opposite),directed,0.075692206638435,0.3824425890942785,0.8982556048331637,18676.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,38,bridge (opposite),directed,0.21585777797854866,0.42460090288052726,0.8795141201975945,38685.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,39,bridge (opposite),directed,-0.016667441026680375,0.411390344051296,0.8796341289090753,35919.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,40,bridge (opposite),directed,-0.12310745895810414,0.3229775884336756,0.9185429657390518,24891.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,41,bridge (opposite),directed,-0.269840004061993,0.4098715691867288,0.8856834881792387,22412.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,42,bridge (opposite),directed,0.009355794364985022,0.31527757885947005,0.9207370423045915,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,43,bridge (opposite),directed,0.3859362390587167,0.32840360243193367,0.9142183572639832,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,44,bridge (opposite),directed,0.18711169509512693,0.346579348614268,0.9072513857885735,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
